,descriptions
1579,ATT PETTY THEFT W/PR PETTY/GRAND/AUTO/ETC
1580,TRANSP HAZA WASTE TO SITE HAVE NO PERMIT
1581,AIDE/ABET SPEED CONTEST
1582,"POSSESS SHOTGUN LESS THAN 26"""
1583,SEXUAL ASSAULT ON ANIMAL
1584,PRACTICE/ADVERTISE/ETC MEDICINE W/O CERT
1585,EMBEZZLE RENTED/LEASED VEHICLE
1586,COUNTERFEIT/POSS 3+COUNTRFEIT PRESC BLANK
1587,FAIL COMPLY COURT ORD:VEH
1588,SEXUAL BATT-TOUCH INTIMATE PARTS OF OTHER
1589,EXTRADITION OF PAROLE/PROBATION VIOLATOR
1590,DAMAGE JAIL/PRISON
1591,WILLFUL CRUELTY TO CHILD
1592,SEX REG FAIL RPT NAME CHG
1593,FURNISHING MARIJUANA TO MINOR OVER 14 YRS
1594,ILLEGALLY PHOTOGRAPH ANOTHER
1595,DEALER NOT DETERMINING OWNERSHIP
1596,SELL MINE MACHINERY W/O BILL OF SALE
1597,SEL/LOAN/ETC F/ARM:S/CIRC
1598,VIOLATION PAROLE:MISD
1599,CONSIRACY TO COMMIT MURDER
1600,ASSAULT/BATTERY: ON SCHOOL PROPERTY
1601,GRAND THEFT PROPERTY
1602,ATTEMPT MFG/ETC FALSE CITIZENXHIP DOCMNTS
1603,DRAW/EXHIBIT F/ARM ON DAY CARE CENTER/ETC
1604,JUVENILE OFFENDER (ENABLING)
1605,FALSE PERSONATION TO RECORD DOCUMENT
1606,BRIBE PO AMOUNTING TO PETTY THEFT
1607,REFUSE TO LEAV PROPERTY UPON REQ OF OWNER
1608,LANCASTER MUNICIPAL CODE
1609,BRING CNTL SUB/ETC JAIL
1610,POSS SPECIF NARC CONT SUBS W/O PRES
1611,CAUSE/ETC RIOT:URGE DESTRUCT PROPERTY/ETC
1612,"ATTEMPT SPOUSAL RAPE,USE DRUGS/INTOXICANT"
1613,CORPORAL INJURY TO CHILD
1614,BOOTLEG RECORDINGS W/PRIOR
1615,ROBBERY:1ST DEGREE:CAB/ETC/INHABIT DWELLG
1616,ADVERTISING AS OPTOMETRIST
1617,ATTEMPT RECEIVE STOLEN PROPERTY >$950
1618,MANUFACTURE/ETC FALSE IDENTIFICATION DOCU
1619,BRING/POSS F/ARM IN CRTRM/CRTHSE/CRT BLDG
1620,RELINQUISH/TERMINATE PARENTAL RIGHTS
1621,PENETRATION W/VICTIM UNDER 18 YRS
1622,FRAUD/FORGE W/INTENT TO OBTAIN AID
1623,SPOUSAL RAPE BY USE OF DRUGS/INTOXICANTS
1624,FALSE REPRESENTATION OF SELF
1625,ANNOY/MOLEST CHILD WITH PRIOR CONVICTION
1626,DIVER FUNDS FOR SERVICE/LABOR/ETC >$1000
1627,ORAL COPULATN IN CONCERT W/FORCE/FEAR INJ
1628,RECKLESS DRIVING 0FF-HWY VEHICLE
1629,FORGE NAME ON ACCESS CARD
1630,UNAUTH PRESCRIPTION BLANK
1631,IMPORT/POSS SPECIFIED WILD ANIMALS
1632,CARRY CONCEALED EXPLOXIVE SUBSTANCE
1633,FALSE IMPRISON:VIOL/ETC
1634,PROHIBIT BUY/ETC/FIREARM
1635,POSSESS/BRING WEAPON IN COURTHOUSE
1636,NOT REGISTERED OWNER OF CONCEALED WEAPON
1637,ENHANCEMENT - VANDALISM W/PRIORS
1638,GRAND THEFT PROPERTY FROM VEHICLE
1639,RECEIVE/PAY FOR PLACEMT/CONSENT TO ADOPTN
1640,FALSE REPORT OF CRIMINAL OFFENSE TO PO
1641,PREVENT WITNESS/VICTIM FROM TESTIMONY
1642,ILLEGAL POSSESSION OF TEAR GAS/TEAR GAS
1643,SELL/POSS/TRANSPORT TEAR GAS/TEAR GAS WPN
1644,PIMPING FOR MINOR OVER 16 YEARS
1645,CONTRIBUTE TO DELINQUENCY OF MINOR
1646,FAIL TO OBEY RESTRAINING ORDER
1647,CARRY LOADED F/ARM WITH INT TO COMMIT FEL
1648,"VANDALISM W/LOSS VALUE: > $1000/<$5,000"
1649,DEVELOP/DUPL FILM/ETC DEPICTNG MINOR W/PR
1650,POSS PIPER/CYCLOH W/INTENT MFG PCP/ANAL
1651,PIMPING FOR MINOR UNDER 16 YEARS
1652,TORRANCE MUNICIPAL CODE
1653,ATTEMPT - POSSESSION CNTL SUBS FOR SALE
1654,PROSTITUTION WITH PRIOR KNOWLEDGE OF AIDS
1655,FAIL TO CONTROL MISCHIEVOUS ANIMAL
1656,POSS EPHEDRINE/SPECIFIED CHEMS FOR SALE
1657,ANNOY/ETC CHILD -18 WITH PRIOR
1658,UNLIC SEL/TRANS/ETC CF/ARM
1659,UNLAWFUL PRACTICE BY ATTORNEY
1660,"REMOVE WEAPON, NOT FIREARM, FROM PO"
1661,GIVE/ETC FIREARM TO PERS /PROHIBITD CLASS
1662,ATTEMPT ORAL COPULATION OF MINOR < 16 YRS
1663,TMPROPER VEHICLE REMOVAL
1664,FAIL TO REGISTER W/CITY PD/SHERIFF/ETC
1665,MULTIPLE/FALSE APPLICATIONS TO OBTAIN AID
1666,OPERATE COMERCL VEH: NO ID/REG
1667,VIOLATION OF OUTPATIENTS
1668,UNLAWFUL SALE OF VEHICLE BY DEALER
1669,ATTORNEY PRACT/AD AFTR SUSPEND/DISBARED
1670,ILLEGAL POSS CONCEALABLE FIREARM-SPEC PR
1671,PRIOR PETTY THEFT PC290 STRIKE
1672,DISCHRG FIREARM/UNOCCUPY VEH/UNINHAB BLDG
1673,OBTAIN AID BY FRAUD
1674,ACT AS VEHICLE SALESMAN W/O LICENSE
1675,ORAL COP:W/VICT UNCONSC OF NATURE OF ACT
1676,FINE AND/OR PRIS-FRAUD CLAIM OVER $400
1677,ORAL COP:BY ANESTHESIA/CNTL SUBS/INTOX
1678,PRESENT MULTIE CLAIMS W/INTENT TO DEFRAUD
1679,POSSESS/SELL/ETC UNMARK FIREARM
1680,ILLEGAL CALLS TO 911
1681,THROW SUBS AT OFF-HWY VEH W/GBI INTENT
1682,FALSE/FRAUD CLAIMS-VEHICLE LOSS/DAMAGE
1683,"PURCHASES, OWNS, OR POSSESSES BODY ARMOR"
1684,ATTEMPT TO DISSUADE WITNESS
1685,FALSE REPRES SELF AS ALARM COMPANY LIC
1686,FAIL TO COMPLY W/REGISTRATION REQURMNTS
1687,ATTEMPT ADW W/FIREARM
1688,ASSIST/ETC FALSE OR FRAUD INSURANCE CLAIM
1689,OPENLY DISPLAY/EXPOSE IMITATION FIREARM/P
1690,UNLAWFUL CONSPIRE TO COMMIT VANDALISM
1691,CONT PATTERN OF UNLAWFUL DISRUPTION SCHL
1692,PROVIDE ROOM FOR CONTROLLED SUBSTANCE
1693,IMPERSONATE PO/ETC:ARREST/ETC
1694,CAUSE INJURY/DEATH OF GUIDE/ETC DOG
1695,ALTERATION OF TEAR GAS WEAPON ID MARK
1696,OFFER FORGED INSTRUMENT TO FILE
1697,MISUSE VEHICLE HORN
1698,FURNISH GOOD/SERVICES ON CREDIT CARD+$400
1699,FINANCIAL ELDER ABUSE
1700,FIGHT AT COLLEGE/UNIVERSITY/SCHOOL
1701,ATTEMPT KIDNAPPING FOR RANSOM
1702,BUY/SELL/POSSESS VEHICLE WITH ALTERED NUM
1703,MANU/SELL COUNTERFEIT REG MARK W/PRIOR
1704,COUNTERFEITING - PUNISHMENT
1705,POSSESS/SELL/MFG SAWED-OFF SHOTGUN
1706,THEFT:VEH/VESSEL W/IMPRISN ON 2+PR:PC499B
1707,THEFT: ELDER/DEPENDENT ADLT - UNDER $400
1708,CONTEMPT OF COURT:DISOBEY COURT ORDER/ETC
1709,ATTEMPT RAPE IN CONCERT W/FORCE/VIOLENCE
1710,ROB 1:INHAB DWELL:CONCERT
1711,DRIV VEH ON DIVIDED HGHWY LEFT OF BARRIER
1712,PALMDALE MUNICIPAL CODE
1713,WILFUL EXPOSR:DISEASE/ETC
1714,AGGRAVATED SEXUAL ASSLT/CHILD - PC264.1
1715,EX-FELON ON/ADJACENT TO PRISON GROUNDS
1716,POSSESS FIREARM SILENCER
1717,POSSESSION OF KETAMINE
1718,IMPERSONATE FIREMAN
1719,VEHCLR MANSLAUGHER W/O GROSS NEGLIGENCE
1720,ADW W/MACHINEGUN/ASSAULT WEAPON
1721,UNLICENSED DENTIST W/PRIOR
1722,ATTEMPT GRAND THEFT BY THREAT
1723,FUEL NOT CONE TO SPECS
1724,ATTEMPT DRIVE WITHOUT A DRIVER'S LICENCE
1725,CARRY LOAD FIREARM/NARCOTICS
1726,MANUFACTURE/SELL/ETC:MAGAZINE
1727,DANGER OF LEADING IMMORAL LIFE
1728,DEMAND IMMEDIATE APPEAR BEFORE MAGISTRATE
1729,REDONDO BEACH MUNICIPAL CODE
1730,IMPROPER CAR SALES
1731,FAIL TO CONDUCT PROPER OPERATIONS
1732,POSS/REC GOLD/SILVER COINS W/INTENT SELL
1733,CARRY LOADED FIREARM IN VEHICLE
1734,UNAUTH PERSON WRITING/ISSUING PRESCRIPTN
1735,ATT - ARSON INHABITED STRUCTURE/PROPERTY
1736,MFG/ETC GOVERNMENT ID/DRIVER'S LIC/ETC
1737,PEACE OFFICER FILING FALSE REPORT
1738,IMPROPR EXTERIOR MAINTENANCE
1739,POSS INCOMPL ACCESS CARD W/INT COMPLETE
1740,RETAILER FAIL TO FURNISH RET
1741,IMPERSONATE AN OFFICE/INTIMIDATE ANOTHER
1742,FAILURE TO PROVIDE FOR AFTER AJUDICATION
1743,WEAR/ETC ID/ETC:IMPERS PO
1744,ARTESIA MUNICIPAL CODE
1745,CARSON MUNICIPAL CODE
1746,REMOVE/DESTROY/DAMAGE WIRELESS COMMUNIC
1747,MFG/SELL/ETC COUNTRFEIT GOVT ID/DRIVR LIC
1748,TAKE PERSON FOR PROSTITUTION W/O CONSENT
1749,FINANCIAL DEPENDENT ADULT ABUSE
1750,OWN DOG TRAIN TO FIGHT/ATTACK-INJ CAUSE
1751,POSSESSION HYPODERMIC NEEDLE
1752,MFG/ETC GOVERNMENT ID/DRIVER LIC/ETC
1753,UNAUTH DISRUPTN/DENIAL OF COMPU SERVICE
1754,ACCESS CARD FORGERY
1755,IRWINDALE MUNICIPAL CODE
1756,FAIL TO REGISTER W/PRIOR
1757,POSSESS TEAR GAS WEAPON
1758,AGGRAVATED SEXL ASSLT/CHILD-ORAL COPULATN
1759,SEX REG F/RPT ADD/ETC CHG
1760,EXTORTION W/THREATENING LETTER
1761,CURFEW
1762,POSSESS/ETC FIREARM:UNIVERSITY/ETC
1763,IMPERSONATE ANOTHER W/O CONSENT: WEBSITE
1764,SHOOTING ON PUBLIC HIGHWAY/ROAD
1765,ENHANCEMENT: GBI IN COMMISSION OF CRIME
1766,BUY VEH FOR RESELL W/KNOWLEDG OF FRAUD ID
1767,SOLICIT ILLEGAL REMUNERATION (KICKBACK)
1768,MONEY LAUNDR/SALE/TRANSP/MANUF CONTR SUBS
1769,INTIMIDATE/THREATEN WIT/VICTIM/INFORMANT
1770,CRIM STORE F/ARMS ACCESS TO CHILD 1ST DEG
1771,TAMPER W/RAILROAD APPARATUS
1772,ATTEMPT - ESCAPE JAIL WHILE FEL PENDING
1773,MINOR W/LIVE AMMUNITON W/O CONSENT
1774,THREAT EXPOSE DEFORMITY/DISGRACE/CRIME
1775,MINOR POSSESS TEAR GAS WEAPON W/O CONSENT
1776,RECKLESSLY CAUSING A FIRE W/GBI
1777,ATTEMPTED LEWED ACT ON CHILD 14 OR 15 YRS
1778,REFUSE LEAV FAIR BLDG/GROUND N/OPEN PUBLC
1779,KNOWINGLY POSSESS UNLAWFUL FIREARM
1780,FORCIBLE ORAL COPULATION
1781,PAY FOR PURPOSE OF PROSTITUTION
1782,ILLEGAL ADVERTISING FOR CONSTRUCTION WORK
1783,FAILURE TO COLLECT/PAY TAX
1784,USE/ETC MINOR TO VIOLATE CNTL SUBS ACT
1785,IMPERSONATE PEACE OFFICER
1786,ESCAPE JAIL/ETC WHILE CHARGED WITH MISD
1787,DEFRAUD INNKEEPER/ETC BY FORCE/ETC($400-)
1788,ACCESS COMPUTER TO DEFRAUD/DECEIVE/EXTORT
1789,PARTICIPATE IN ORAL COPULATION
1790,AGGRAVATE BATTERY BY PRISONER
1791,POSS FIREARM: FELON/ADDICT/ETC
1792,UNLAWFULLY OPERATING BOAT
1793,ATTEMPT RECEIVE KNOWN STOLEN PROPERTY/ETC
1794,ATTEMPT TO TORTURE/KILL LIVING ANIMAL
1795,FAIL TO DISCLOSE ORIGIN OF RECORDING W/PR
1796,INFLUENCE TESTIMONY BY BRIBE
1797,FAIL OPER VAPOR RCOVY SYSTM GAS CARGOTANK
1798,"BUY/SELL COMPU CHIP/PANEL,$400+W/ID REMOV"
1799,HABITUAL TRUANT
1800,PASSING COUNERFEIT NOTES
1801,EMBEZZLE PROP:BAILEE/TENANT/LODGER >$400
1802,THREATEN FORCE TO WIT/VICT BY CONVICT FEL
1803,AUTO THEFT W/SPECIFIC PRIOR
1804,ATT REMOVE/PHONE/TELEGRAPH/CABLE/POWER LN
1805,USE FORTIFIED ROOM/ETC TO SELL CNTL SUB
1806,FRAUDULENT USE OF CONTRACTOR'S LICENSE
1807,INFLICT PAIN/SUFFERING W/O GBI ELDER ADLT
1808,NON SUFFICIENT FUNDS CHECKS
1809,ATTEMPTRECEIVE KNOWN STOLEN PROPERTY/ETC
1810,FALSE RPT OF VEH THEFT W/INTENT TO DECEIV
1811,ILLEGAL POSSESSION OF VEHICLE KEY
1812,BATTERY ON P.O./EMERGENCY PERSONEL/ETC
1813,DUMPING
1814,ALLOWING ANIMAL FIGHTS
1815,BUILD FALSE COMPARTMT IN VEH:STORE C/SUB
1816,CONSPIRE:FAKE STMNT:CLAIM
1817,TRESPASS POSTED LAND/TAMPER W/LOCK
1818,PANDERING:OTHR PERSON 16+
1819,INVADE PRIVACY: PEEK THRU HOLE IN BATHROOM
1820,IMPRISON:ELD/ETC BY FORCE/FEAR ETC
1821,OWN/POSS FIREARM IN VIOL OF PROB COND
1822,ALHAMBRA MUNICIPAL CODE
1823,SEXUAL BATT ON MEDI INSTITUTIONAL VICTIM
1824,SELL PERSON FOR IMMORAL PURPOSE
1825,ATTEMPT - EXTORTION - PUNISHMENT
1826,ATTEMPTED POSS OF CNTL SUBS PARAPHERNALIA
1827,DISOBEY COURT ORDER W/PRIOR
1828,ATTEMPT - ORAL COPULATION - DEFINED
1829,SUPPLY FIREARMS TO CONVICTED FELON
1830,PENETRAT W/FORGN OBJ/FORC VIC/MENTL TREAT
1831,DOWNEY MUNICIPAL CODE
1832,POS BLANK CHECK/ETC:FRAUD
1833,REMOVE MORTGAGED PROPERTY
1834,DEALER FAILING TO REFUND EXCESS FEES
1835,MANSLAUGHTER DURING OPERATION OF VESSEL
1836,FALSE LICENSE PLATES
1837,FRAUDULENT CONVEYANCES OF PROPERTY
1838,BATTERY GASSING NON-PEACE OFC. FEL
1839,POSS/ETC COUNTERFIT $/ETC
1840,MONTEBELLO MUNICIPAL CODE
1841,PERMITTING ANOTHER TO SHOOT FROM A VEH
1842,MATERIAL WITNESS/FAILURE TO APPEAR
1843,ATT -SODOMY W/PRSN<14 BY PRSN 10 YRS OLDR
1844,FUGITIVE FROM JUSTICE:WARRANT ARREST
1845,FAIL TO STOP/FLASHING RED LIGHT
1846,DISTURBING THE PEACE AT UNIVERSITY
1847,IMPERSONATE FIREMAN/FIRE MARSHALL/ETC
1848,SALES OF SECURITIES
1849,DEALER EMPLOYING UNLICENSED SALESMAN
1850,DISCHARGE FIREARM FROM VEHICLE AT PERSON
1851,REC/ETC/CNCL/ETC$+:C/SUB
1852,ATTEMPT BATTERY ON PEACE OFFICER
1853,FALSE PERSONATION TO POST BAIL/SURETY
1854,THROW INJURIOUS MATTER ON HIGHWAY
1855,EXHIBIT FIREARM IN PRESENCE OF PO
1856,ATTEMPT GRAND THEFT VEHICLE/VESSEL/ETC
1857,AD 4 SALE/ETC RECORDG/ETC W/O ORIGIN W/PR
1858,FAIL TO NOTIFY DMV OF VEHICLE TRANSFER
1859,ATTEMPT - SELL SUBSE IN LIEU OF CNTL SUBS
1860,INTENT/OFFER DISTR/EXHIBIT OBSCENE MATTER
1861,MFG/SELL FALSE GOVERNMENT DOCUMENTS
1862,BRIBERY EXEC OFFICER/EMPLOYEE ASK/RECEIVE
1863,EMBEZZLE PROP:TRUSTEE/BANKR/MERCHANT/ETC
1864,POSS W/INT/KNOW:MFG METH
1865,FALSE AFFIDAVIT AS TO TESTIMONY
1866,GRAND THEFT ACCESS CARD
1867,DISRUPTIVE PRESENCE AT SCHOOL
1868,SELL FIREARM TO MINOR
1869,LOMITA MUNICIPAL CODE
1870,RESALE OF FISH W/O IMPORT LICENSE
1871,POSSESS STUN GUN W/O SERIAL NUMBER
1872,FAIL TO YIELD
1873,MFG/SELL/GIVE/LEND POSSES AIR GAUGE KNIFE
1874,COUNSEL/AID IN MISDEMEANOR
1875,MONTEREY PARK MUNICIPAL CODE
1876,FAIL TO YIELD/PEDESTRIAN IN CROSSWALK
1877,ASSAULT W/INTENT TO COMMIT OTHER FELONY
1878,ILLEGAL SALE OF AMMUNITION
1879,DISCONNECT/TURN BACK ODOMETER
1880,VIO PROT ORD:W/FIREARM
1881,"COMMERCIAL BRIBERY: BRIBE EXCEEDS $1,000"
1882,ASSAULT ON A POLICE HORSE/DOG
1883,DRAWING/EXHIBITING LASER SCOPE
1884,MAKE/POSSESS COUNTERFEIT PLATES/DIES/ETC
1885,HIRE/EMPLY MINR DISTRT OBSCENE MATR W/PR
1886,FAIL TO KEEP F/ARM INACCESSIBLE TO CHILD
1887,KIDNAPPING W/INT COMMIT RAPE/SODOMY/ETC
1888,TRANS/ETC/CONCEAL/ETC GAINS FROM CNTL SUB
1889,RETAKE GOODS FROM OFFICER
1890,TRESPASS BY CREDIBLE THREAT
1891,DRUNK DRIVING
1892,CONVICTED VIOL FELON REFUS LEAVE PROPERTY
1893,BRING KIDNAPPED PERSON INTO STATE
1894,VOLUNTARY MANSLAUGHTER
1895,PIMPING FOR A MINOR
1896,LA VERNE MUNICIPAL CODE
1897,ASSISTING IN A LOTTERY
1898,ATTEMPT ORAL COP: W/VICT UNCONSC OF ACT
1899,POSS FOR SALE/SELL SYNTH STIMULANT
1900,MFG/POSSES ETC RIFLE/SHORT-BARREL SHOTGUN
1901,UNAUTH USE/POSSESS/ETC OF FOOD STAMPS
1902,LEND DISABLED PERSON PLACARD
1903,UNAUTHORIZED POSS PRESCRIPT BLANK
1904,PRESENT PAYMT ACCESS CARD SERVCE N/RENDER
1905,DISCHARGE FIREARM FROM VEHICLE
1906,UNLAWFUL TRANSFER/SELL/ETC OF FIREARMS
1907,MONEY LAUNDERING
1908,INTERFERE W/FIREMAN/EMERG RESCUE PERSONNL
1909,ATTEMPTED IDENTITY THEFT
1910,"ATTEMPT - ORAL COPULATION,CONFINE IN JAIL"
1911,POSSESS DISABLED PERSON PLACARD FOR SALE
1912,RECEIVE KNOWN STOLEN PROPERTY
1913,BRING STOLEN PROPERTY INTO STATE
1914,ATTEMPT THEFT ELDER/DEPENDENT ADULT $400+
1915,POSS CONTROLLED SUBSTANCE
1916,MAKE 10+ CALL IN 24HR TO VICTIM WORKPLACE
1917,FTA ON REVOCATION
1918,CAUSE VEH ACCIDENT TO PRESENT FALSE CLAIM
1919,EMBEZZLEMENT BY COLLECTOR OF ACCTS/DEBTS
1920,PREVENT/DISSUADE WIT/VICT FROM PROSECUTE
1921,ESCAPE JAIL/ETC CHARGED W/MISD:FORCE/VIOL
1922,CONSPIRE SELL/TRANSPRT CONT SUBS
1923,SODOMY ANESTHESIA/CNTL SUBS/INTOXICATION
1924,UNLAWFUL SEXUAL INTERCOURSE
1925,FRAUD USE PHONE/TELEGRAPH SERVICE
1926,PANDER IN A HOUSE OF PROSTITUTION
1927,MFG/SELL/GIVE/LEND POSSESS ANY SHOBI-ZUE
1928,BARBERING OR COSMETOLOGY W/O A LICENSE
1929,VIOL F/ARM SALES/LEASE/TRANSPORT REGLTNS
1930,ANNOY/ETC CHILD AFTER SPEC PR CONVICTN
1931,RAPE IN CONCERT - VICTIM 14 OR OLDER
1932,INT/OFFER DISTR/EXHIBIT OBSCENE MATR W/PR
1933,DRUG PARAPHENALIA/HYPE SYRINGE MNR PRSON
1934,DUI W/PRIOR SEPC CONVICTIONS
1935,FIX EVID:HARM SAFETY OFCR
1936,CROSS LARE OR CONE PATTERN
1937,COUNTERFEIT/FORGE/ALTER FARE MEDIA
1938,CONSPIRACY TO PURCHASE SUBST
1939,ENTER PLACE OF EMPLOYMENT BEFORE SAFE
1940,INDECENT EXPOSURE WITH PRIOR
1941,DEVELOP/DUPL FILM/ETC DEPICTNG MINOR
1942,MATERIAL WITNESS/REFUSAL
1943,FAIL TO PROVIDE REQUIRED INFORMATION
1944,BANK/ETC ROBBERY
1945,UNLAWFULLY POSSESS AMMUNITION IN AIRPORT
1946,PANDERING FOR A MINOR UNDER 16 YEARS
1947,LICENSE SUSP/HABITIAL TRAFFIC OFFENDER
1948,INDUCE FALSE TESTIMONY
1949,MFG/POSS ETC HANDGRENADE/METAL REPLICA
1950,ATTEMPT TO SOLICIT SALES OF NARCOTICS
1951,"BRG/SEND/POSS CNTL SUB/WEAPN/ETC,JH/CAMP"
1952,PASS COUNTERFEIT DISABLED PERSON PLACARD
1953,POSSESS/SELL/ETC AMMO > .60 CALIBER W/PR
1954,FAIL REG/ETC SEX OFF/PR
1955,FAIL TO COMPLY WITH LABOR CODE
1956,JUVENILE FELON POSS F/ARM PRIOR CONVICTN
1957,REC STOLE PROP W/2PR VEH/TRAILER/VESSEL
1958,MED ASSIST: FRAUDULENT/FALSE INFO OBT AID
1959,PRISONER CONFINEMENT/OVERNIGHT STAY
1960,POSS F/ARM BY JUV FELON PROSECUTE AS ADLT
1961,THEFT OF ARTICLE REPRESENT TRADE SECRETS
1962,MFG/SELL/POSS ETC CAMOUFLAGE FIREARM CONT
1963,PRETEND TO BE CARD HOLDER
1964,WITNESS FAILURE TO APPEAR
1965,PIMPING:PROSTITUTE -16
1966,METHAMPHETAMINE/PHENCYCLIDINE
1967,FRONT LIGHT & REFLECTOR WHITE/AMBER
1968,EXCEEDING ALLOWABLE WEIGHTS FOR AXELS
1969,FRAUD TELEPHONE/TELEGRAPH SERVICE
1970,FALSE STATEMENT TO OBTAIN AFDC
1971,ISSUE/FILL ILLEGAL CNTL SUB PRESCRIPTION
1972,URGE/INCITE RIOT OR DESTROY PROPERTY
1973,ATTEMPT ARSON OF PROPERTY
1974,DESTRUCTIVE DEVICE NEAR PRIVATE HABITATION
1975,ATMPT-PREV/DISSUADE WIT/VICT FORCE/THREAT
1976,ATTEMPTED SODOMY BY USE OF FORCE
1977,ATTEMPT SPOUSAL RAPE W/FORCE/FEAR/THREAT
1978,CONSPIRACY: ADW/NOT FIREARM/ W/GBI
1979,INTIMIDATE/INTERFERE BECAUSE RACE/COLOR
1980,INSTALL TRANSP MAT IN CAR WINDOW
1981,TEARGAS/TEARGAS WPN:ILUSE
1982,ILLEGAL POSSESSION TEAR GAS BY MINOR
1983,UNLAWFUL DISCL OF INFO FROM DMV RECORDS
1984,UNDOCUMENTED VESSEL NUMBER REQUIRED
1985,"FRAUD USE OF TELEPHONE/TELEGRAPH,>$400"
1986,FAILURE TO REGISTER AS AN ARSON OFFENDER
1987,"DISCHRG SEWAGE/OTHER WASTE,CAUSE POLLUTN"
1988,ILLEGAL POSS TEAR GAS BY NARCOTIC ADDICT
1989,FALSE RPT CRIME TO EMPLOYEE/DESIGN AGENCY
1990,PRESENT FALSE INSURANCE CLAIM FOR THEFT
1991,SEND FORGED PHONE/TELEGRAPH MESSAGE
1992,AID/ATTEMPT ESCAPE PAROLEE/PRISONR/ESCAPE
1993,U-TURN IN BUSINESS DISTRICT
1994,COMPOUND/CONCEAL FELONY NOT CAPITL OFFENS
1995,"ATT DISORDR COND LODGE,BLDG/ETC W/O CONS"
1996,CRMNL STORAGE F/ARM ACCESS CHILE 1ST DEG
1997,REFUSE TO PRESENT DRIVER'S LIC TO OFFICER
1998,PASS ON RIGHT SAFELY
1999,VIOL/ETC:REPRODUCTIVE HLTH SRV CLIENT:CA F
2000,MFG/SELL/GIVE/LEND POSSESS ANY WALLET GUN
2001,CONVEY/TRANS/PERSONAL ID INFO W/INT DEFRAU
2002,FALSE FIRE ALARM RESULTING IN GBI
2003,ABANDON/NON-SUPPORT CHILD UNDER 14 YRS
2004,HIDE FACTS: INS ENTITLEMENTS
2005,TRESPAS MILITARY ETC/PROP
2006,CONCEAL PERSN FROM WRIT OF HABEAS CORPUS
2007,MONEY LAUNDER PROCEEDS CIMINAL ACTIVITY
2008,PERSON WHO DISCHARGES F/ARM FROM VEH
2009,REFER TO TALENT SERVICE
2010,POSS DOCUMENT ALTERING DEVICE
2011,FALSE/MISLEADING ADVERTISING STATEMENTS
2012,"POSSESS CNTL SUBS PROCEEDS OF $100,000+"
2013,ATT SEX PENETRATION: FOREIGN OBJECT/FORCE
2014,ADW ON PO/FIREMAN W/MACHINEGUN
2015,ADVERTISE OBSCENE MATTER DEPICTING MINOR
2016,MAKE FALSE ENTRIES IN RECORDS/RETURNS
2017,MUTILATION/DISINTERMENT OF HUMAN REMAINS
2018,STEAL/FORGE/ETC RATION COUPONS/STAMPS/ETC
2019,POSSESS/SELL/ETC UNMARKED FIREARM
2020,EMBEZZLEMENT OF PROP UNDER LEASE/LIEN
2021,"SEX EXPLOITATION,PHYSICAN,SURGEON,ETC"
2022,INPERSONATE AN OFFICER/INTIMIDATE ANOTHER
2023,OWN/RENT FORTIFIED ROOM FOR SALE C/SUBS
2024,FINE AND/OR PRIS-FRAUD CL $400 OR LESS
2025,UNSAFE TURN WITH/WITHOUT SIGNALING
2026,CARRY UNLOADED H/GUN IN VEH HIS/HER POSS
2027,"BUY/SELL PROP W/ID REMOVED, > $400"
2028,ATTEMPT FORGE/MAKE/USECARD/DEFRAUD
2029,MFG/SELL/GIVE/POSS ETC LIPSTICK CASE KNIFE
2030,MFG/SELL/POSS ETC UNCONVENTIONAL PISTOL
2031,VIOL CIVIL RIGHTS:CAUSE PROPERTY DAMAGE
2032,SEX FAIL 90 DAY UPDATE
2033,HIT AND RUN RUNAWAY VEH/PROPERTY DAMAGE
2034,"REFUS LEAVE HOTEL/MOTEL,REQ PROPRIETR/MGR"
2035,FRAUDULENT/FALSE INFO TO OBT MED ASSIST
2036,THREATN/ETC ELEC OFCL/ETC
2037,SPEED VESSEL W/IN 100 FT NAVAGATION WATER
2038,BRING/POSS WEAPON INTO COURTHOUSE
2039,RECEIVE/OFFER COMPENSATION FOR REFERRAL
2040,SOLICIT MINOR TO COMMIT SPECIFIED FELONY
2041,TAKE/POSSESS SPINY LOBSTER > 12 INCHES
2042,ATT OBTAIN MONEY/ETC BY FALSE PRETENSES
2043,"BUY/SELL PROP W/ID REMOVED, < $400"
2044,ATT-ORAL COP W/PRSN<14 BY PRSN 10YR OLDR
2045,THROW/SHOOT OBJ AT PASSENGR TRAIN
2046,"PAY KICKBACK, BRIBE, REBATE"
2047,INJURE/REMOVE RAILROAD/RAILROAD BRIDGES
2048,TAMPERING W/UTILITY METER EXCEEDING $400
2049,ATTEMPT - BATTERY
2050,MISREPRESENT MFG/ETC OF GOODS
2051,POSSESS/SELL MFG'S ID W/INTENT TO DEFRAUD
2052,BRING POSSESS WEAPON INTO COURTHOUSE
2053,MAKE DESTRUCTIVE DEVICE WITHOUT PERMIT
2054,TRESPASSING TO COMMIT CRIME
2055,TAKE VEH FOR TEMP USE W/2+ SPECIFIC PRI
2056,DUI DRUGS
2057,GRAND THEFT:FISH/SHELLFISH/ETC $250 OR MOR
2058,FALSE STATEMENTS TO OBTAIN AID
2059,BATTERY AGAINST SPORTS OFFICIAL
